capture_utc,http_status,bytes,sha256,consolidation_utc,last_modified,etag,elapsed_s,archived_path,erreur
2026-09-17T21:04:59.842277+00:00,200,8937880,d8206222790f76a70657903733f712c98370ca53b374229bb7a57c785dee680e,2026-09-17T21:05:00.404114Z,,,0.62,data/raw/dynamique/2026-09-17/210459.csv.gz,
2026-09-17T21:09:59.998141+00:00,200,8937822,034b2bd3e8cda5cb8784865c72e3042e5c6beac5f72604d4622d5e854fa7c869,2026-09-17T21:10:00.482805Z,,,0.59,data/raw/dynamique/2026-09-17/210959.csv.gz,
2026-09-17T21:14:59.991884+00:00,200,8937751,f2df3a100d1ae748c75e6f10676d866efca77253a05184eff71f61012882ae94,2026-09-17T21:15:00.533768Z,,,0.57,data/raw/dynamique/2026-09-17/211459.csv.gz,
2026-09-17T21:20:00.000168+00:00,200,8937717,ffe9a8da2d1e5c26ae91922e5255ea86909eacdb60a593dad2ae89295e447940,2026-09-17T21:20:00.585049Z,,,0.61,data/raw/dynamique/2026-09-17/212000.csv.gz,
2026-09-17T21:24:59.989271+00:00,200,8937619,eb07753faeb986fc2eff2253d0f74ea2860bc076e1c972e3f6755b340fb9c161,2026-09-17T21:25:00.481918Z,,,0.49,data/raw/dynamique/2026-09-17/212459.csv.gz,
2026-09-17T21:29:59.993130+00:00,200,8937607,5b699806c0346b1537a263e41ef8db90152389b04de61d3e0c9e6a99c1f6b428,2026-09-17T21:30:00.534017Z,,,0.58,data/raw/dynamique/2026-09-17/212959.csv.gz,
2026-09-17T21:35:00.048720+00:00,200,8937448,75af2b218d717f6200a415a2e8eab24adcef5e7a17e19adbac357dccfc27bcfb,2026-09-17T21:35:00.600650Z,,,0.56,data/raw/dynamique/2026-09-17/213500.csv.gz,
2026-09-17T21:40:00.000209+00:00,200,8937529,142f60e3b252991c28fca36c35ec51fddfe2088b602e39c768a5aa53227f5c2e,2026-09-17T21:40:00.548112Z,,,0.58,data/raw/dynamique/2026-09-17/214000.csv.gz,
2026-09-17T21:45:00.000478+00:00,200,8937457,ebcb3f8865db11988cef2485a78f80cc93162704a364705fc9bd44858378a9de,2026-09-17T21:45:00.556310Z,,,0.58,data/raw/dynamique/2026-09-17/214500.csv.gz,
2026-09-17T21:50:00.003701+00:00,200,8937307,853dc69fea40a08de9103e86237b1566732788619c1a2d77f7f7bfdbc84a9041,2026-09-17T21:50:00.525260Z,,,0.55,data/raw/dynamique/2026-09-17/215000.csv.gz,
2026-09-17T21:55:00.003185+00:00,200,8937247,e36f81ef32b0201e7ab4856a0437733e498709fbf9cb660758f57c2c3614822b,2026-09-17T21:55:00.507951Z,,,0.51,data/raw/dynamique/2026-09-17/215500.csv.gz,
