prefixe,pdc,operateur,part_op,n_op,amenageur,siren,n_siren,enseigne_top
FRS82,216,Syndicat Départemental d'Énergie de Tarn-et-Garonne (SDE82) | FR*S82,1.0,1,SDE82 Public,,0,Freshmile France
FRS85,200,Bouygues Energies & Services,1.0,1,SYDEV (FR*S85),200042489,1,SYDEV (FR*S85)
FRIXL,199,IZIVIA,1.0,1,LIMOGES Métropole,419070180,2,LIMOGES Métropole
FRWII,199,W:I (Comelec) | FR*WII,1.0,1,W:I,,0,FR*WII
FRCPI,193,Raw Charging,0.839,5,Raw Charging,200096824,7,RAW MCG PARISGIVERNY 66
FRMW1,192,PARERA MOBILITE | FR*MW1,1.0,1,TRESSOL CHABRIER,,0,PARERA MOBILITE CPO
FRURW,191,IZIVIA,1.0,1,UNIBAIL,682024096,1,UNIBAIL
FRERA,182,Eranovum e-Mobility France SAS,0.505,2,Eranovum e-Mobility France SAS,909764680,1,Eranovum e-Mobility France SAS
FRIZM,180,IZIVIA,1.0,1,MAMP,912043676,1,MAMP
FRS18,179,Modulo,1.0,1,Modulo Energies,841376734,1,MODULO - BOURGES - Cujas
FRAUT,177,Evota Netherlands B.V. | FR*AUT,1.0,1,MISSING,,0,Evota
FRGFX,172,C4Energies,0.971,3,Cocoon Padel Club,449623909,44,Super U
FRBHM,171,Borneco | FR*BHM,0.982,2,Borneco,818984221,3,BornEco
FRGOB,164,G-MOB,1.0,1,SYNDICAT MIXTE D'ELECTRICITE DE LA GUADELOUPE (SY.MEG),200010759,3,gmob
FRS51,158,Modulo,1.0,1,Modulo Energies,841376734,1,MODULO - GIFFAUMONT CHAMPAUBERT- rue de la Cachotte
FRS28,148,Modulo,0.946,3,Modulo Energies,841376734,2,FR*S28
FR911,143,Porsche Sales & Marketplace,1.0,1,Porsche Sales & Marketplace,,0,Porsche Destination Charging Les Sources de Cheverny
FR0CU,135,Charge Unix | FR*0CU,1.0,1,CREDIT AGRICOLE CENTRE FRANCE,,0,Charge Unix
FRM31,133,Bouygues Energies & Services,1.0,1,Toulouse Métropole,,0,Reveo
FRS55,128,Modulo,1.0,1,Modulo Energies,841376734,1,MODULO - COMMERCY - Piscine
FRS53,126,Bouygues Energies & Services,1.0,1,Territoire de Energie TE53,,0,Territoire de Energie TE53
FRZPE,126,ZEborne,0.468,3,OFFICE PUBLIC DE L'HABITAT DE LA SOMME,315667410,34,E-MB 73
FRS88,126,Modulo,1.0,1,Modulo Energies,841376734,1,MODULO - EPINAL - Tribunal
FRFZD,123,Fuzed | FR*FZD,1.0,1,Fuzed,,0,FR*FZD
FRTDA,123,EASYCHARGE,1.0,1,TDEC services,982824872,1,AVIA VOLT by EASYCHARGE
FRION,120,IONITY,1.0,1,IONITY,838436145,1,IONITY GMBH
FRQWT,115,QoWatt,1.0,1,QoWatt,904074713,1,QoWatt
FRS32,111,Syndicat Départemental d'Énergies du Gers (SDEG) | FR*S32,1.0,1,Gers,,0,Freshmile France
FRORV,110,OBORNES,0.927,2,O'TERRE,935285478,1,OREVE
FRAQI,108,Bouygues Energies & Services,1.0,1,AQUI,943458265,1,AQUI
FRS48,108,Bouygues Energies & Services,1.0,1,Syndicat Départ d'Élec et d'Équip de la Lozère,,0,Reveo
FRACA,107,Aéroports de la Côte d'Azur | FR*ACA,1.0,1,Aéroports de la Côte d'Azur,,0,Aéroports de la Côte d'Azur
FRMIL,105,Milence,1.0,1,Milence,949382311,23,Milence
FRZTL,103,ZEBORNE,0.67,2,TOYOTA LEXUS ERAGNY,302695325,16,GCA ERAGNY
FRIMX,99,IZIVIA,1.0,1,IZIVIA MAX,940198799,1,IZIVIA MAX
